id,legalName,category,RoadNameAddress,telephone,SignatureFoods,AdministrativeNeighborhood
47,가든바베큐,한식,전북 군산시 옥산면 대위로 128,063-464-5282,바베큐,옥산면
48,명인,한식,전북 군산시 임피면 서원석곡로 602,063-452-2459,"냉면, 갈비",임피면
49,콩뜰,한식,전북 군산시 구영7길 21-9,063-445-2218,두부보쌈,중앙동
50,에이뷔페(A뷔페),양식,전북 군산시 공단대로 179,063-464-5566,뷔페,수송동
51,스위트인디아,아시아음식,전북 군산시 우체통거리1길 14,063-445-8522,인도음식,월명동
52,마루벌돌구이군산점,한식,전북 군산시 축동안길 56,063-443-9233,"한우꽃등심,통삼겹살",수송동
53,군산떡갈비,한식,전북 군산시 미장6길 16,063-467-8877,떡갈비,수송동
54,현대옥(미장점),한식,전북 군산시 미장안7길 34,063-452-9885,콩나물국밥,수송동
55,궁전꽃게장본점,한식,전북 군산시 궁포1로 24-5,063-466-6677,궁전꽃게장정식,조촌동
56,풍천장어타운 경암점,한식,전북 군산시 진포로 199,063-452-4422,장어구이,경암동
57,샤브쌈주머니군산점,샤브샤브,전북 군산시 수송로 315,063-463-7016,소고시샤브,수송동
