Column,id,legalName,category,RoadNameAddress,AdministrativeNeighborhood,LegalStatusNeighborhood,telephone
34,12373,송가네삼겹살,음식점업,전라북도 군산시 지곡로 15,수송동,지곡동,634656027
35,12372,로얄자카르타(지곡점),음식점업,전라북도 군산시 지곡로 15,수송동,지곡동,634621108
36,12371,군산숯불갈비 지곡점,음식점업,전라북도 군산시 지곡로 14,수송동,지곡동,634885355
37,12369,알둥지,음식점업,전라북도 군산시 지곡로 12,수송동,지곡동,634676024
38,12367,시골집얼큰한뼈해장국,음식점업,전라북도 군산시 지곡로 10,수송동,지곡동,634657773
39,12361,닭코,음식점업,전라북도 군산시 지곡동 514-13,수송동,지곡동,634650732
40,12357,장가네,음식점업,전라북도 군산시 지곡동 487-6,수송동,지곡동,634645292
41,12356,한남생고깃간,음식점업,전라북도 군산시 지곡동 393-2,수송동,지곡동,
42,12353,정담전통찻집,음식점업,전라북도 군산시 의료원로 96,수송동,지곡동,
43,12351,둥이식당,음식점업,전라북도 군산시 의료원로 90-1,수송동,지곡동,
44,12346,부흥부페식당,음식점업,전라북도 군산시 의료원로 78,수송동,지곡동,
45,12342,황해회집,음식점업,전라북도 군산시 의료원로 60,수송동,지곡동,634646838
46,12334,단지이것,음식점업,전라북도 군산시 의료원로 50,수송동,지곡동,634620735
47,12328,양평해장국 지곡점,음식점업,전라북도 군산시 의료원로 40,수송동,지곡동,
48,12325,나비드 (주식회사 대영테크 군산의료원지점),음식점업,전라북도 군산시 의료원로 27,수송동,지곡동,634660472
49,12322,하이브런치,음식점업,전라북도 군산시 의료원로 26,수송동,지곡동,634718752
50,12320,멤,음식점업,전라북도 군산시 의료원로 108,수송동,지곡동,
51,12312,조박사설렁탕,음식점업,전라북도 군산시 월명로118,수송동,지곡동,634657313
52,12307,주먹고기,음식점업,전라북도 군산시 신평안길28,수송동,지곡동,634648481
53,12306,한반도양꼬치&훠궈무한리필,음식점업,전라북도 군산시 신평안길16-1,수송동,지곡동,
54,12303,개화당,음식점업,전라북도 군산시 신평안길 64,수송동,지곡동,
55,12301,군산한식,음식점업,전라북도 군산시 신평안길 60-3,수송동,지곡동,
56,12296,너와나의연탄구이,음식점업,전라북도 군산시 신평안길 46-12,수송동,지곡동,634632298
57,12295,류대감 칼국수,음식점업,전라북도 군산시 신평안길 46-10,수송동,지곡동,634526055
58,12290,조마루뼈다귀,음식점업,전라북도 군산시 신평안길 25,수송동,지곡동,634615156
59,12289,큰솥단지,음식점업,전라북도 군산시 신평안길 18,수송동,지곡동,634648708
60,12288,바른국밥,음식점업,전라북도 군산시 신평안길 18,수송동,지곡동,
61,12287,와와치킨호프,음식점업,전라북도 군산시 신평안길 17,수송동,지곡동,634681303
62,12286,어청도,음식점업,전라북도 군산시 신평안길 16-4,수송동,지곡동,634653727
63,12284,카페GY지요,음식점업,전라북도 군산시 신평길 9,수송동,지곡동,
64,12282,아오미복집,음식점업,전라북도 군산시 신평길 7,수송동,지곡동,634622007
65,12278,군산홍어,음식점업,전라북도 군산시 신평길 33-3,수송동,지곡동,634688994
66,12277,처갓집양념치킨앤드수산식당,음식점업,전라북도 군산시 신평길 33-2,수송동,지곡동,
67,12270,가나순대,음식점업,전라북도 군산시 신평길 15,수송동,지곡동,634675353
68,12269,군산로스,음식점업,전라북도 군산시 신평길 11,수송동,지곡동,
69,12268,지리산흑돼지연탄생구이,음식점업,전라북도 군산시 신평3길 8,수송동,지곡동,634651326
70,12267,라루나,음식점업,전라북도 군산시 신평3길 26,수송동,지곡동,
71,12265,오대양참치,음식점업,전라북도 군산시 신평3길 14,수송동,지곡동,634687115
72,12263,터키블루,음식점업,전라북도 군산시 신평2길 8,수송동,지곡동,
73,12262,수배로스,음식점업,전라북도 군산시 신평2길 3,수송동,지곡동,634714636
74,12260,원조우정식당,음식점업,전라북도 군산시 신평2길 16-4,수송동,지곡동,
75,12259,고기고기또고기,음식점업,전라북도 군산시 신평2길 15,수송동,지곡동,634626070
76,12258,타이,음식점업,전라북도 군산시 신평2길 14,수송동,지곡동,634655526
77,12257,단호프,음식점업,전라북도 군산시 신평2길 12-8,수송동,지곡동,
78,12256,더삼겹,음식점업,전라북도 군산시 신평2길 12-8,수송동,지곡동,
79,12255,해왕정,음식점업,전라북도 군산시 신평2길 12-4,수송동,지곡동,634678210
80,12253,오뚜기회관,음식점업,전라북도 군산시 신평1길 7,수송동,지곡동,634686266
81,12250,대북경,음식점업,전라북도 군산시 신평1길 3,수송동,지곡동,634711123
82,12249,양자강,음식점업,전라북도 군산시 신평1길 1-6,수송동,지곡동,634673400
83,12248,원조별미뼈해장국,음식점업,전라북도 군산시 신평1길 15,수송동,지곡동,
84,12245,플랜비컴퍼니 AirPort1,음식점업,전라북도 군산시 신평1길 11-2,수송동,지곡동,
85,12244,대인식당,음식점업,전라북도 군산시 신평1길 11,수송동,지곡동,
86,12243,다다복집,음식점업,전라북도 군산시 신평 3길 4,수송동,지곡동,634710633
87,12242,굴나라칼국수,음식점업,전라북도 군산시 신지길7,수송동,지곡동,634674242
88,12237,번지농장돌판아구찜,음식점업,전라북도 군산시 신지길 84,수송동,지곡동,634616565
89,12236,읍내생맥주,음식점업,전라북도 군산시 신지길 74,수송동,지곡동,
90,12235,읍내생맥주,음식점업,전라북도 군산시 신지길 74,수송동,지곡동,
91,12230,바우네 나주곰탕,음식점업,전라북도 군산시 신지길 66,수송동,지곡동,634639997
92,12229,군산갈매기숯불구이,음식점업,전라북도 군산시 신지길 66,수송동,지곡동,
93,12228,음악이야기,음식점업,전라북도 군산시 신지길 66,수송동,지곡동,634645110
94,12227,청담동말자싸롱지곡점,음식점업,전라북도 군산시 신지길 65,수송동,지곡동,
95,12226,신지길양푼갈비,음식점업,전라북도 군산시 신지길 64,수송동,지곡동,634637705
96,12225,크라운호프 군산지곡점,음식점업,전라북도 군산시 신지길 63,수송동,지곡동,634617080
97,12224,크라운호프 군산지곡점,음식점업,전라북도 군산시 신지길 63,수송동,지곡동,
98,12223,지곡동구공탄,음식점업,전라북도 군산시 신지길 61,수송동,지곡동,634659080
99,12222,지곡한우,음식점업,전라북도 군산시 신지길 58,수송동,지곡동,634715592
100,12217,다원푸드,음식점업,전라북도 군산시 신지길 44,수송동,지곡동,
101,12214,뽀랩(BBOLAB)베이킹연구소,음식점업,전라북도 군산시 신지길 43,수송동,지곡동,
102,12212,문's도넛,음식점업,전라북도 군산시 신지길 35,수송동,지곡동,634710042
103,12209,지니분식,음식점업,전라북도 군산시 신지길 21,수송동,지곡동,634664912
104,12200,해피토스트,음식점업,전라북도 군산시 신지길 20,수송동,지곡동,634713334
105,12187,군산지곡점 감탄,음식점업,전라북도 군산시 신지길 11,수송동,지곡동,634622332
106,12185,메가엠지씨커피 군산지곡점,음식점업,전라북도 군산시 신지길 10,수송동,지곡동,634677784
107,12184,면사무소,음식점업,전라북도 군산시 신지길 10,수송동,지곡동,
108,12182,보석정,음식점업,전라북도 군산시 상지곡안4길1,수송동,지곡동,634688484
109,12181,커피몬스터,음식점업,전라북도 군산시 상지곡안4길 9,수송동,지곡동,
110,12178,오구제이오케이(59 JOK),음식점업,전라북도 군산시 상지곡안4길 7-2,수송동,지곡동,634715353
111,12177,토실배기,음식점업,전라북도 군산시 상지곡안4길 7-1,수송동,지곡동,634621792
112,12176,장수영양돌솥밥,음식점업,전라북도 군산시 상지곡안4길 69,수송동,지곡동,
113,12174,피오커피(FIOH COFFEE),음식점업,전라북도 군산시 상지곡안4길 62,수송동,지곡동,
114,12173,산고을,음식점업,전라북도 군산시 상지곡안4길 59,수송동,지곡동,634648989
115,12172,명정장어구이,음식점업,전라북도 군산시 상지곡안4길 58,수송동,지곡동,634678820
116,12168,청하순대 지곡점,음식점업,전라북도 군산시 상지곡안4길 42-1,수송동,지곡동,634627377
117,12167,삼은갈비,음식점업,전라북도 군산시 상지곡안4길 42,수송동,지곡동,634622545
118,12166,오리일번지,음식점업,전라북도 군산시 상지곡안4길 40,수송동,지곡동,634675255
119,12162,원조소문난집,음식점업,전라북도 군산시 상지곡안4길 33-1,수송동,지곡동,
120,12160,용'S 푸드,음식점업,전라북도 군산시 상지곡안4길 29-1,수송동,지곡동,
121,12159,다향,음식점업,전라북도 군산시 상지곡안4길 28,수송동,지곡동,634651613
122,12158,아구에꽃이피네,음식점업,전라북도 군산시 상지곡안4길 27,수송동,지곡동,634673950
123,12152,이조복집,음식점업,전라북도 군산시 상지곡안4길 17,수송동,지곡동,634683733
124,12148,멕시카나나운2지곡점,음식점업,전라북도 군산시 상지곡안3길 6,수송동,지곡동,634682259
125,12147,오양참치지곡점,음식점업,전라북도 군산시 상지곡안3길 32,수송동,지곡동,634688934
126,12143,명승지,음식점업,전라북도 군산시 상지곡안3길 30-8,수송동,지곡동,634620881
127,12140,은파종점,음식점업,전라북도 군산시 상지곡안3길 25,수송동,지곡동,634633316
128,12138,커피베이군산여상점,음식점업,전라북도 군산시 상지곡안3길 17,수송동,지곡동,634645808
129,12137,원일호프,음식점업,전라북도 군산시 상지곡안3길 15 ,수송동,지곡동,
130,12136,썬플라워&꽃마실차마실,음식점업,전라북도 군산시 상지곡안2길 7-2,수송동,지곡동,634671577
131,12135,월명도시락,음식점업,전라북도 군산시 상지곡안2길 7-1,수송동,지곡동,634661272
132,12134,죽향참치,음식점업,전라북도 군산시 상지곡안2길 6,수송동,지곡동,634681910
133,12133,인사동찻집,음식점업,전라북도 군산시 상지곡안2길 4-7,수송동,지곡동,634653048
134,12132,맥화,음식점업,전라북도 군산시 상지곡안2길 4-3,수송동,지곡동,
135,12124,더스파게티하우스,음식점업,전라북도 군산시 상지곡안2길 19,수송동,지곡동,634615502
136,12123,쿠모(KUMO),음식점업,전라북도 군산시 상지곡안2길 19,수송동,지곡동,634652221
137,12121,카페다 군산시점,음식점업,전라북도 군산시 상지곡안2길 18,수송동,지곡동,634672744
138,12120,옥류관,음식점업,전라북도 군산시 상지곡안2길 17-5,수송동,지곡동,634635654
139,12119,자미원,음식점업,전라북도 군산시 상지곡안2길 17-3,수송동,지곡동,
140,12118,사시미 한점,음식점업,전라북도 군산시 상지곡안2길 15 ,수송동,지곡동,
141,12117,용해장,음식점업,전라북도 군산시 상지곡안1길 8,수송동,지곡동,
142,12116,오늘도물회아귀찜,음식점업,전라북도 군산시 상지곡안1길 34,수송동,지곡동,634682422
143,12115,제이에스푸드,음식점업,전라북도 군산시 상지곡안1길 32,수송동,지곡동,634681277
144,12113,단초밥,음식점업,전라북도 군산시 상지곡안1길 24,수송동,지곡동,634680741
145,12109,뽀빠이냉면 지곡점,음식점업,전라북도 군산시 상지곡안1길 22,수송동,지곡동,634661785
146,12106,뽀빠이갈비,음식점업,전라북도 군산시 상지곡안1길 20-3,수송동,지곡동,634681785
147,12105,에이비씨커피(지곡점),음식점업,전라북도 군산시 상지곡안1길 20-2,수송동,지곡동,634687909
148,12104,밀마당,음식점업,전라북도 군산시 상지곡안1길 18,수송동,지곡동,634632227
149,12101,호식이두마리치킨(지곡점),음식점업,전라북도 군산시 상지곡안1길 12-1,수송동,지곡동,634676682
150,12100,자매식당,음식점업,전라북도 군산시 상지곡안 3길 6,수송동,지곡동,
151,12098,보리네홍어마을,음식점업,전라북도 군산시 상지곡3길41,수송동,지곡동,634644470
152,12095,자갈마당,음식점업,전라북도 군산시 상지곡3길 6,수송동,지곡동,634684999
153,12094,복있는 섬,음식점업,전라북도 군산시 상지곡3길 52,수송동,지곡동,634614566
154,12093,닷찌,음식점업,전라북도 군산시 상지곡3길 52,수송동,지곡동,
155,12092,역전할머니맥주 지곡점,음식점업,전라북도 군산시 상지곡3길 52,수송동,지곡동,
156,12091,언제나,음식점업,전라북도 군산시 상지곡3길 50,수송동,지곡동,
157,12090,어도원,음식점업,전라북도 군산시 상지곡3길 49,수송동,지곡동,634634343
158,12089,군산소식당,음식점업,전라북도 군산시 상지곡3길 47,수송동,지곡동,
159,12087,청담즉석숯불장어구이,음식점업,전라북도 군산시 상지곡3길 46,수송동,지곡동,634612100
160,12086,호호불닭발,음식점업,전라북도 군산시 상지곡3길 44 ,수송동,지곡동,634670980
161,12085,화수목즉석숯불장어구이전문점,음식점업,전라북도 군산시 상지곡3길 43,수송동,지곡동,634671780
162,12084,미진이네,음식점업,전라북도 군산시 상지곡3길 43,수송동,지곡동,
163,12081,경원해물아구찜,음식점업,전라북도 군산시 상지곡3길 3-1,수송동,지곡동,634670608
164,12080,사쿠라,음식점업,전라북도 군산시 상지곡3길 3,수송동,지곡동,
165,12079,사쿠라,음식점업,전라북도 군산시 상지곡3길 3,수송동,지곡동,
166,12074,푸른바다 찜&탕,음식점업,전라북도 군산시 상지곡2길 9-3,수송동,지곡동,634665982
167,12072,간바레,음식점업,전라북도 군산시 상지곡2길 6,수송동,지곡동,634661870
168,12071,춘천닭갈비 지곡점,음식점업,전라북도 군산시 상지곡2길 4,수송동,지곡동,634454116
169,12070,해신포차,음식점업,전라북도 군산시 상지곡2길 4,수송동,지곡동,
170,12069,군산가맥,음식점업,전라북도 군산시 상지곡2길 3,수송동,지곡동,
171,12065,쌍둥이네가맥,음식점업,전라북도 군산시 상지곡2길 1,수송동,지곡동,
172,12062,영희네주방,음식점업,전라북도 군산시 상지곡1길 49,수송동,지곡동,634676470
173,12061,참옻닭,음식점업,전라북도 군산시 상지곡1길 43,수송동,지곡동,634610779
174,12060,안주랑찌개랑,음식점업,전라북도 군산시 상지곡1길 41,수송동,지곡동,634633466
175,12058,지곡동,음식점업,전라북도 군산시 상지곡1길 39,수송동,지곡동,
176,12052,황금어장,음식점업,전라북도 군산시 상지곡1길 20,수송동,지곡동,634642266
177,12051,수요일,음식점업,전라북도 군산시 상지곡1길 14-6,수송동,지곡동,634668253
178,12040,천사카롱,음식점업,전라북도 군산시 백토로 241,수송동,지곡동,
179,12037,르빠니에,음식점업,전라북도 군산시 백토로 239,수송동,지곡동,637327514
180,12026,더리터 군산은파점,음식점업,전라북도 군산시 백토로 231,수송동,지곡동,634662310
181,12025,교촌지킨지곡점,음식점업,전라북도 군산시 백토로 231,수송동,지곡동,634651993
182,12024,본죽&비빔밥 지곡점,음식점업,전라북도 군산시 백토로 231,수송동,지곡동,
183,12023,본죽 지곡점,음식점업,전라북도 군산시 백토로 231,수송동,지곡동,634679777
184,12019,파리바게뜨군산지곡점,음식점업,전라북도 군산시 백토로 229,수송동,지곡동,
185,12017,피자샵,음식점업,전라북도 군산시 백토로 219-1,수송동,지곡동,634670017
186,12015,맘스터치 군산지곡점,음식점업,전라북도 군산시 백토로 219,수송동,지곡동,
187,12014,순수그릭,음식점업,전라북도 군산시 백토로 217,수송동,지곡동,
188,12013,피자알볼로군산점,음식점업,전라북도 군산시 백토로 217,수송동,지곡동,634648495
189,12012,나리네 반찬,음식점업,전라북도 군산시 백토로 215,수송동,지곡동,
190,12006,다사랑치킨피자전문점지곡점,음식점업,전라북도 군산시 백토로 209-1,수송동,지곡동,634639915
191,12004,모짜르트,음식점업,전라북도 군산시 백토로 203,수송동,지곡동,
192,11999,카페세라잔,음식점업,전라북도 군산시 동지곡길 63-2,수송동,지곡동,
193,11994,안녕구름,음식점업,전라북도 군산시 동지곡길 53,수송동,지곡동,
194,11989,바우향,음식점업,전라북도 군산시 동지곡길 40,수송동,지곡동,634655236
195,11988,비비큐나운지곡점,음식점업,전라북도 군산시 동지곡길 38 ,수송동,지곡동,634689292
196,11987,카페베네은파호수점,음식점업,전라북도 군산시 동지곡길 177-4,수송동,지곡동,
197,11986,안영순 베이커리카페,음식점업,전라북도 군산시 동지곡길 171,수송동,지곡동,
198,11981,하버브릿지,음식점업,전라북도 군산시 당북길 5),수송동,지곡동,
199,11979,죽고을,음식점업,전라북도 군산시 당북길 5,수송동,지곡동,634681087
200,11978,김치이야기,음식점업,전라북도 군산시 당북길 5,수송동,지곡동,634652200
201,11976,대감집,음식점업,전라북도 군산시 당북길 11,수송동,지곡동,
202,11975,정식당,음식점업,전라북도 군산시 당북길 11,수송동,지곡동,637321004
203,11971,골목집,음식점업,전라북도 군산시 계산로87-6,수송동,지곡동,634670720
204,11958,이디야 지곡동점,음식점업,전라북도 군산시 계산로 89,수송동,지곡동,
205,11956,하루김밥,음식점업,전라북도 군산시 계산로 89,수송동,지곡동,634620545
206,11954,예가명태찜,음식점업,전라북도 군산시 계산로 87-8,수송동,지곡동,634617779
207,11953,투다리(지곡점),음식점업,전라북도 군산시 계산로 87-8,수송동,지곡동,634620066
208,11948,도서관,음식점업,전라북도 군산시 계산로 87-6,수송동,지곡동,
209,11947,BHC 군산지곡점,음식점업,전라북도 군산시 계산로 87-6,수송동,지곡동,634680528
210,11946,더달달,음식점업,전라북도 군산시 계산로 87-6,수송동,지곡동,
211,11945,힘찬맥주,음식점업,전라북도 군산시 계산로 87-6,수송동,지곡동,
212,11944,라셀(LASel),음식점업,전라북도 군산시 계산로 87-6 ,수송동,지곡동,639101123
213,11942,아궁이순대국밥,음식점업,전라북도 군산시 계산로 87-6 ,수송동,지곡동,
214,11937,커피베이지곡예가점,음식점업,전라북도 군산시 계산로 87-12,수송동,지곡동,634669279
215,11936,고기어때,음식점업,전라북도 군산시 계산로 87-10,수송동,지곡동,
216,11935,풍미중화요리,음식점업,전라북도 군산시 계산로 87-10,수송동,지곡동,634682288
217,11909,59쌀피자 지곡점,음식점업,전라북도 군산시 계산로 71 ,수송동,지곡동,634625979
218,11907,진미면 막국수,음식점업,전라북도 군산시 계산2길 98 ,수송동,지곡동,634645414
219,11906,"은파소머리국밥, 설원칡냉면",음식점업,전라북도 군산시 계산2길 93,수송동,지곡동,634625678
220,11904,강식당,음식점업,전라북도 군산시 계산2길 90,수송동,지곡동,
221,11903,청춘다방,음식점업,전라북도 군산시 계산2길 84,수송동,지곡동,
222,11877,귀빈,음식점업,전라북도 군산시 미원안길 38,흥남동,중앙로3가,634462488
223,11875,뚱이네,음식점업,전라북도 군산시 미원로 131-6,흥남동,중앙로3가,
224,11873,공주네집,음식점업,전라북도 군산시 미원로 131-4,흥남동,중앙로3가,
225,11856,골목식당,음식점업,전라북도 군산시 대명2길 13,흥남동,중앙로3가,
226,11844,네네치킨 중앙점,음식점업,전라북도 군산시 중앙로 94,중앙동,중앙로2가,634454479
227,11839,설고당,음식점업,전라북도 군산시 중앙로 126-3,중앙동,중앙로2가,
228,11838,한콩커피,음식점업,전라북도 군산시 중앙로 126-3,중앙동,중앙로2가,634459777
229,11824,빵빵한 하루,음식점업,전라북도 군산시 중앙로 108,중앙동,중앙로2가,634430023
230,11818,꽃다방,음식점업,전라북도 군산시 중앙로 105 ,중앙동,중앙로2가,
231,11812,맛나다한끼,음식점업,전라북도 군산시 싸전길4,중앙동,중앙로2가,634628787
232,11809,스마일분식,음식점업,전라북도 군산시 둔배미길 40 ,중앙동,중앙로2가,
233,11808,엄마손식당,음식점업,전라북도 군산시 대명2길 33-3,중앙동,중앙로2가,634429768
234,11799,베스킨라빈스(군산시영동점),음식점업,전라북도 군산시 중앙로1가 22-1,중앙동,중앙로1가,634453025
235,11793,커플토스트,음식점업,전라북도 군산시 중앙로1가 15-2,중앙동,중앙로1가,634428653
236,11788,희락,음식점업,전라북도 군산시 중앙로1가 10-11,중앙동,중앙로1가,634454456
237,11784,제일식당,음식점업,전라북도 군산시 중앙로 206,중앙동,중앙로1가,
238,11782,카페디레마,음식점업,전라북도 군산시 중앙로 205,중앙동,중앙로1가,
239,11781,파랑새,음식점업,전라북도 군산시 중앙로 204,중앙동,중앙로1가,
240,11779,오라에스프레소,음식점업,전라북도 군산시 중앙로 201,중앙동,중앙로1가,
241,11778,카페 찰리,음식점업,전라북도 군산시 중앙로 200,중앙동,중앙로1가,
242,11775,맥시칸치킨,음식점업,전라북도 군산시 중앙로 197-1 ,중앙동,중앙로1가,634719919
243,11773,군산고래밥,음식점업,전라북도 군산시 중앙로 196,중앙동,중앙로1가,
244,11772,레어커피,음식점업,전라북도 군산시 중앙로 195,중앙동,중앙로1가,
245,11764,군산칼국수보쌈,음식점업,전라북도 군산시 중앙로 182,중앙동,중앙로1가,634460506
246,11763,소풍,음식점업,전라북도 군산시 중앙로 181,중앙동,중앙로1가,
247,11761,㈜이성당,음식점업,전라북도 군산시 중앙로 177,중앙동,중앙로1가,634450020
248,11758,군일분식,음식점업,전라북도 군산시 중앙로 165-1,중앙동,중앙로1가,634429005
249,11744,본죽중앙점,음식점업,전라북도 군산시 중앙로 146-1,중앙동,중앙로1가,634427288
250,11730,파리바게뜨 중앙점,음식점업,전라북도 군산시 중앙로 136,중앙동,중앙로1가,634468208
251,11729,하버브릿지중앙로,음식점업,전라북도 군산시 중앙로 135,중앙동,중앙로1가,634437889
252,11727,꽃잎카페,음식점업,전라북도 군산시 중앙로 133-2,중앙동,중앙로1가,
253,11718,리오,음식점업,전라북도 군산시 우체통거리1길 17,중앙동,중앙로1가,
254,11716,명랑핫도그,음식점업,전라북도 군산시 영동로 29-2 ,중앙동,중앙로1가,
255,11704,에이앤디(AND),음식점업,전라북도 군산시 구영7길 95,중앙동,중앙로1가,
256,11703,이화,음식점업,전라북도 군산시 구영7길 77,중앙동,중앙로1가,
257,11702,우미네,음식점업,전라북도 군산시 구영7길 74 ,중앙동,중앙로1가,634681234
258,11701,가보자,음식점업,전라북도 군산시 구영7길 72,중앙동,중앙로1가,
259,11699,바다샌드,음식점업,전라북도 군산시 구영6길 96,중앙동,중앙로1가,
260,11697,2500냥 국시집,음식점업,전라북도 군산시 구영6길 96,중앙동,중앙로1가,634425770
261,11695,커피벨트,음식점업,전라북도 군산시 구영6길 85,중앙동,중앙로1가,634660958
262,11693,나들목 월명점,음식점업,전라북도 군산시 구영6길 83,중앙동,중앙로1가,634656545
263,11690,수목원,음식점업,전라북도 군산시 구영5길 81,중앙동,중앙로1가,634455330
264,11689,청사초롱,음식점업,전라북도 군산시 구영4길 8,중앙동,중앙로1가,634403138
265,11688,미다원,음식점업,전라북도 군산시 구영4길 4,중앙동,중앙로1가,634622132
266,11685,다루군산점,음식점업,전라북도 군산시 해망로 89,중앙동,중동,
267,11675,중동칼국수,음식점업,전라북도 군산시 신금길 49,중앙동,중동,634426218
268,11673,서래포구마을,음식점업,전라북도 군산시 서래안2길 22,중앙동,중동,
269,11670,티바두마리치킨중동대명점,음식점업,전라북도 군산시 서래로 51,중앙동,중동,
270,11657,서래애물총칼국수,음식점업,전라북도 군산시 구암3.1로 71-9,중앙동,중동,634454454
271,11656,오산상회,음식점업,전라북도 군산시 구암3.1로 71 7 ,중앙동,중동,
272,11655,국일식당,음식점업,전라북도 군산시 평화길 99-4,중앙동,죽성동,634452716
273,11640,세정식당,음식점업,전라북도 군산시 평화길 100-3,중앙동,죽성동,634450466
274,11636,완주옥,음식점업,전라북도 군산시 큰샘길 42,중앙동,죽성동,634452644
275,11633,장미칼국수,음식점업,전라북도 군산시 큰샘길 26,중앙동,죽성동,634461789
276,11607,반야돌솥밥,음식점업,전라북도 군산시 죽성동 20-9,중앙동,죽성동,634425606
277,11606,경원아나고,음식점업,전라북도 군산시 죽성동 20-8,중앙동,죽성동,634457775
278,11600,이가소바,음식점업,전라북도 군산시 싸전길 21,중앙동,죽성동,
279,11599,밥심도시락,음식점업,전라북도 군산시 싸전길 19,중앙동,죽성동,
280,11595,옛날팥죽,음식점업,전라북도 군산시 싸전길 15-1,중앙동,죽성동,634428884
281,11590,송가네숯불갈비,음식점업,전라북도 군산시 진포로165,조촌동,조촌동,634468005
282,11589,청하순대,음식점업,전라북도 군산시 진포로 185,조촌동,조촌동,
283,11588,조촌이층집,음식점업,전라북도 군산시 진포로 183,조촌동,조촌동,634428483
284,11586,주공순대,음식점업,전라북도 군산시 진포로 180,조촌동,조촌동,634518880
285,11585,시골순대,음식점업,전라북도 군산시 진포로 177-2,조촌동,조촌동,634450969
286,11583,바다산붕장어,음식점업,전라북도 군산시 진포로 177,조촌동,조촌동,634457550
287,11582,우리들식당,음식점업,전라북도 군산시 진포로 177,조촌동,조촌동,
288,11581,뚱이네 뼈다귀탕,음식점업,전라북도 군산시 진포로 177 ,조촌동,조촌동,634450322
289,11580,우리들 해장국,음식점업,전라북도 군산시 진포로 177 ,조촌동,조촌동,
290,11579,전통순대국밥,음식점업,전라북도 군산시 진포로 175,조촌동,조촌동,634462431
291,11577,다옴,음식점업,전라북도 군산시 진포로 174,조촌동,조촌동,634514728
292,11576,네네치킨조촌점,음식점업,전라북도 군산시 진포로 169,조촌동,조촌동,634464492
293,11573,불타는 곱창,음식점업,전라북도 군산시 진포로 169,조촌동,조촌동,
294,11572,은영 순대국밥,음식점업,전라북도 군산시 진포로 169 ,조촌동,조촌동,634426991
295,11569,1974연탄시절,음식점업,전라북도 군산시 진포로 161,조촌동,조촌동,634427772
